id,Status_pred,Prob
42100,0,0.1013
42101,0,0.0683
42102,0,0.1139
42103,0,0.0486
42104,0,0.2626
42105,1,0.774
42106,0,0.3719
42107,1,0.5216
42108,0,0.0339
42109,1,0.638
42110,1,0.8852
42111,0,0.1899
42112,0,0.2975
42113,0,0.3776
42114,0,0.269
42115,0,0.4988
42116,0,0.0307
42117,0,0.287
42118,1,0.9352
42119,1,0.9394
42120,1,0.9513
42121,0,0.1614
42122,0,0.0017
42123,1,0.8231
42124,1,0.8801
42125,0,0.4046
42126,0,0.1375
42127,0,0.0176
42128,0,0.444
42129,0,0.2749
42130,1,0.8651
42131,0,0.1534
42132,0,0.471
42133,1,0.8052
42134,0,0.2129
42135,0,0.0317
42136,0,0.0365
42137,0,0.1852
42138,1,0.745
42139,1,0.8132
42140,1,0.6356
42141,0,0.3422
42142,0,0.3467
42143,1,0.8586
42144,0,0.075
42145,1,0.7612
42146,0,0.056
42147,1,0.5842
42148,1,0.8188
42149,0,0.23
42150,0,0.4462
42151,1,0.8555
42152,1,0.8248
42153,0,0.2234
42154,1,0.7457
42155,0,0.4584
42156,0,0.18
42157,0,0.0061
42158,0,0.4514
42159,1,0.8551
42160,0,0.3576
42161,0,0.0238
42162,0,0.084
42163,0,0.0414
42164,1,0.591
42165,0,0.4526
42166,1,0.5763
42167,0,0.1533
42168,1,0.6352
42169,1,0.813
42170,0,0.0165
42171,0,0.4761
42172,0,0.3903
42173,1,0.7834
42174,0,0.1496
42175,0,0.2812
42176,1,0.7559
42177,0,0.2946
42178,0,0.0519
42179,1,0.9303
42180,0,0.3684
42181,1,0.7887
42182,1,0.9335
42183,0,0.3634
42184,0,0.0282
42185,0,0.0355
42186,0,0.2035
42187,0,0.3927
42188,0,0.0192
42189,0,0.0382
42190,0,0.3825
42191,0,0.3884
42192,1,0.6744
42193,0,0.0659
42194,0,0.1959
42195,1,0.9435
42196,1,0.8006
42197,0,0.3824
42198,1,0.6013
42199,1,0.8684
42200,1,0.5322
42201,1,0.5634
42202,1,0.5388
42203,0,0.0601
42204,1,0.5954
42205,0,0.1553
42206,0,0.0104
42207,1,0.7667
42208,0,0.0603
42209,0,0.4814
42210,0,0.1545
42211,0,0.2142
42212,0,0.3197
42213,1,0.8359
42214,1,0.9069
42215,0,0.168
42216,1,0.9044
42217,0,0.0961
42218,0,0.0133
42219,0,0.1709
42220,0,0.2323
42221,1,0.7609
42222,0,0.379
42223,0,0.1049
42224,1,0.9558
42225,1,0.6365
42226,1,0.922
42227,0,0.0269
42228,1,0.8574
42229,0,0.0567
42230,0,0.2961
42231,1,0.8351
42232,0,0.151
42233,1,0.8579
42234,1,0.6494
42235,0,0.1238
42236,0,0.0619
42237,1,0.7944
42238,0,0.4107
42239,0,0.2394
42240,1,0.8923
42241,1,0.8789
42242,0,0.1067
42243,1,0.9529
42244,0,0.0456
42245,1,0.5239
42246,1,0.9349
42247,0,0.4391
42248,1,0.7906
42249,1,0.8773
42250,0,0.2943
42251,0,0.2808
42252,1,0.656
42253,1,0.7843
42254,0,0.1467
42255,0,0.0181
42256,1,0.7161
42257,1,0.6194
42258,0,0.4054
42259,1,0.7661
42260,1,0.7155
42261,1,0.8897
42262,1,0.8189
42263,1,0.9358
42264,0,0.1179
42265,1,0.7806
42266,0,0.0358
42267,0,0.2292
42268,0,0.3918
42269,0,0.0783
42270,1,0.8818
42271,1,0.7979
42272,0,0.0724
42273,0,0.0057
42274,1,0.5845
42275,0,0.3406
42276,0,0.1488
42277,0,0.0495
42278,0,0.0773
42279,0,0.222
42280,0,0.4314
42281,0,0.0182
42282,0,0.1432
42283,0,0.1192
42284,0,0.3502
42285,0,0.0683
42286,1,0.6553
42287,1,0.6993
42288,0,0.1362
42289,1,0.7808
42290,0,0.1232
42291,1,0.8313
42292,0,0.0792
42293,1,0.7423
42294,1,0.9014
42295,0,0.1696
42296,0,0.0113
42297,0,0.1447
42298,0,0.0419
42299,1,0.5771
42300,1,0.9255
42301,0,0.3827
42302,0,0.3272
42303,0,0.1673
42304,0,0.0207
42305,0,0.395
42306,0,0.1972
42307,0,0.0422
42308,0,0.2324
42309,0,0.1423
42310,0,0.2254
42311,1,0.771
42312,0,0.0954
42313,1,0.6611
42314,1,0.6307
42315,0,0.0633
42316,1,0.6039
42317,0,0.1855
42318,1,0.5245
42319,0,0.3511
42320,0,0.4817
42321,0,0.4552
42322,1,0.8725
42323,0,0.0547
42324,0,0.2831
42325,0,0.0091
42326,0,0.4538
42327,0,0.0919
42328,0,0.0118
42329,0,0.4027
42330,1,0.6953
42331,0,0.2835
42332,0,0.3627
42333,1,0.6999
42334,0,0.0761
42335,1,0.6319
42336,0,0.0424
42337,1,0.7584
42338,0,0.0524
42339,0,0.0216
42340,0,0.1001
42341,1,0.767
42342,1,0.8178
42343,0,0.3776
42344,0,0.2955
42345,0,0.0782
42346,1,0.8136
42347,1,0.7314
42348,1,0.9413
42349,0,0.0415
42350,0,0.2234
42351,0,0.0324
42352,1,0.7563
42353,1,0.7305
42354,0,0.201
42355,0,0.2098
42356,0,0.2582
42357,0,0.3175
42358,1,0.9049
42359,0,0.0913
42360,1,0.6148
42361,0,0.0916
42362,1,0.6139
42363,0,0.112
42364,0,0.4731
42365,0,0.2202
42366,0,0.0229
42367,1,0.7401
42368,1,0.5358
42369,1,0.7994
42370,0,0.148
42371,0,0.0221
42372,0,0.173
42373,1,0.9444
42374,1,0.747
42375,1,0.5115
42376,0,0.0305
42377,1,0.9336
42378,1,0.5918
42379,0,0.2791
42380,0,0.102
42381,0,0.0235
42382,0,0.3745
42383,1,0.8954
42384,0,0.1202
42385,0,0.0051
42386,1,0.6799
42387,0,0.4001
42388,0,0.023
42389,0,0.0108
42390,1,0.8852
42391,0,0.1687
42392,0,0.0347
42393,0,0.1885
42394,0,0.1267
42395,1,0.5523
42396,0,0.1057
42397,1,0.8475
42398,0,0.464
42399,0,0.3951
42400,0,0.1507
42401,0,0.2659
42402,1,0.764
42403,1,0.7851
42404,1,0.5417
42405,0,0.302
42406,0,0.3823
42407,0,0.0879
42408,0,0.0738
42409,0,0.2026
42410,1,0.871
42411,0,0.165
42412,1,0.9321
42413,1,0.5473
42414,1,0.6063
42415,0,0.0788
42416,1,0.5876
42417,0,0.1952
42418,0,0.2439
42419,0,0.276
42420,0,0.3339
42421,0,0.0297
42422,0,0.4621
42423,1,0.524
42424,1,0.804
42425,0,0.1923
42426,0,0.1538
42427,0,0.164
42428,0,0.1306
42429,1,0.8927
42430,0,0.0335
42431,1,0.7798
42432,1,0.9066
42433,0,0.2196
42434,0,0.0076
42435,0,0.056
42436,0,0.395
42437,0,0.1131
42438,0,0.1157
42439,1,0.8007
42440,0,0.3058
42441,1,0.8888
42442,0,0.0993
42443,0,0.1924
42444,0,0.0194
42445,0,0.0717
42446,0,0.3848
42447,0,0.2238
42448,0,0.0749
42449,0,0.0758
42450,0,0.2525
42451,0,0.1402
42452,0,0.0506
42453,0,0.0154
42454,0,0.4738
42455,0,0.2236
42456,0,0.3975
42457,0,0.3058
42458,0,0.2563
42459,0,0.4766
42460,0,0.4508
42461,0,0.3339
42462,1,0.7078
42463,0,0.1465
42464,1,0.8547
42465,0,0.0506
42466,1,0.5366
42467,0,0.1517
42468,0,0.4562
42469,0,0.3227
42470,0,0.1114
42471,0,0.1664
42472,1,0.7667
42473,0,0.0194
42474,0,0.0847
42475,0,0.024
42476,0,0.103
42477,0,0.2488
42478,1,0.7727
42479,1,0.8206
42480,0,0.0081
42481,0,0.0448
42482,0,0.1145
42483,0,0.1622
42484,0,0.3041
42485,0,0.0041
42486,1,0.8225
42487,0,0.3324
42488,0,0.3704
42489,0,0.2074
42490,0,0.1012
42491,1,0.6163
42492,1,0.6083
42493,0,0.0535
42494,0,0.3486
42495,0,0.2407
42496,0,0.4599
42497,0,0.0771
42498,0,0.0957
42499,0,0.1381
42500,0,0.0658
42501,1,0.6001
42502,0,0.3925
42503,1,0.8008
42504,0,0.0193
42505,0,0.005
42506,0,0.4262
42507,0,0.0168
42508,0,0.1477
42509,0,0.385
42510,1,0.7187
42511,0,0.1738
42512,0,0.1308
42513,1,0.7756
42514,0,0.1004
42515,0,0.4455
42516,0,0.3745
42517,1,0.5048
42518,1,0.8793
42519,0,0.4142
42520,0,0.4609
42521,0,0.0109
42522,0,0.3021
42523,0,0.4155
42524,1,0.5224
42525,1,0.5818
42526,1,0.7458
42527,0,0.3665
42528,0,0.4302
42529,0,0.165
42530,0,0.2835
42531,1,0.7984
42532,0,0.2346
42533,1,0.5347
42534,0,0.0785
42535,1,0.9568
42536,0,0.0582
42537,0,0.0609
42538,1,0.6975
42539,0,0.228
42540,0,0.0611
42541,0,0.1971
42542,0,0.2386
42543,0,0.0891
42544,0,0.0118
42545,0,0.3927
42546,0,0.0266
42547,0,0.4432
42548,1,0.5621
42549,1,0.5021
42550,1,0.5575
42551,1,0.932
42552,1,0.5039
42553,0,0.01
42554,0,0.0074
42555,1,0.555
42556,0,0.2949
42557,1,0.5181
42558,0,0.1905
42559,0,0.216
42560,0,0.4118
42561,1,0.5886
42562,1,0.8516
42563,0,0.3577
42564,0,0.4522
42565,1,0.8268
42566,1,0.9342
42567,0,0.0415
42568,0,0.014
42569,0,0.03
42570,0,0.4452
42571,0,0.0179
42572,0,0.1906
42573,0,0.3029
42574,1,0.6521
42575,1,0.8568
42576,0,0.1771
42577,0,0.1743
42578,0,0.0075
42579,0,0.0425
42580,0,0.0164
42581,1,0.9417
42582,0,0.1803
42583,1,0.5159
42584,0,0.0219
42585,0,0.1746
42586,0,0.2147
42587,1,0.8283
42588,0,0.173
42589,0,0.486
42590,1,0.9508
42591,0,0.0498
42592,0,0.1716
42593,1,0.56
42594,0,0.0482
42595,0,0.0567
42596,1,0.537
42597,0,0.1976
42598,0,0.3826
42599,0,0.2817
42600,0,0.0002
42601,1,0.8112
42602,1,0.9474
42603,0,0.0372
42604,0,0.2909
42605,1,0.7088
42606,1,0.5964
42607,0,0.495
42608,0,0.2227
42609,0,0.0161
42610,1,0.6496
42611,1,0.7832
42612,0,0.0575
42613,0,0.4631
42614,0,0.0095
42615,0,0.1889
42616,1,0.7089
42617,0,0.3097
42618,0,0.4077
42619,0,0.37
42620,1,0.6426
42621,1,0.8547
42622,0,0.4177
42623,1,0.8874
42624,0,0.0081
42625,0,0.173
42626,1,0.795
42627,0,0.3641
42628,1,0.5325
42629,1,0.7114
42630,1,0.7202
42631,0,0.084
42632,0,0.0105
42633,0,0.0478
42634,0,0.1775
42635,0,0.1638
42636,1,0.548
42637,0,0.3559
42638,0,0.2312
42639,1,0.8421
42640,0,0.0453
42641,0,0.0647
42642,0,0.2623
42643,0,0.0511
42644,0,0.1919
42645,0,0.201
42646,1,0.684
42647,0,0.0444
42648,0,0.107
42649,0,0.119
42650,1,0.5035
42651,0,0.3797
42652,0,0.3777
42653,0,0.0733
42654,0,0.2353
42655,0,0.0524
42656,0,0.4001
42657,1,0.9101
42658,0,0.2106
42659,0,0.31
42660,0,0.2317
42661,0,0.0868
42662,1,0.8922
42663,0,0.056
42664,0,0.1183
42665,0,0.3665
42666,1,0.7838
42667,0,0.27
42668,0,0.0269
42669,1,0.8059
42670,1,0.6463
